League,Home,Away,INC,Date,Time,H_Score,A_Score,WIN,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards
premier-league,Burnley,Liverpool,"[""43' Goal_Away - Firmino R.(Robertson A.)"", ""52' Goal_Away - Phillips N.(Mane S.)"", ""88' Goal_Away - Oxlade-Chamberlain A.(Robertson A.)""]",19.05.2021,21:15,0,3,Away,41%,59%,10,20,4,3,107,105,77,53,3,9,3,8,8,11,6,7,1,1,0,4,10,7,,
premier-league,West Brom,West Ham,"[""01' Yellow_Home - Johnstone S.(Faul)"", ""03' Penalty_Missed_Away -  Rice D.()"", ""27' Goal_Home - Pereira M."", ""34' Yellow_Away - Ogbonna A.(Podcięcie)"", ""40' Yellow_Home - Yokuslu O.(Faul)"", ""45+1' Goal_Away - Soucek T.(Benrahma S.)"", ""82' Goal_Away - Ogbonna A.(Cresswell A.)"", ""87' Yellow_Away - Dawson C.(Podcięcie)"", ""88' Goal_Away - Antonio M.(Lingard J.)""]",19.05.2021,21:15,1,3,Away,52%,48%,14,21,4,9,109,87,60,48,5,9,5,3,12,9,6,8,2,1,6,3,8,11,2,2
premier-league,Crystal Palace,Arsenal,"[""05' Yellow_Home - Schlupp J.(Faul)"", ""35' Goal_Away - Pepe N.(Tierney K.)"", ""37' Yellow_Away - Elneny M."", ""37' Yellow_Home - Benteke C.(Nadmierna ostrość)"", ""62' Goal_Home - Benteke C.(Townsend A.)"", ""90+1' Goal_Away - Martinelli G.(Odegaard M.)"", ""90+5' Goal_Away - Pepe N.""]",19.05.2021,20:00,1,3,Away,31%,69%,12,6,6,3,89,115,48,79,4,1,2,2,9,13,6,7,3,2,0,5,7,7,2,1
premier-league,Everton,Wolves,"[""48' Goal_Home - Richarlison(Sigurdsson G.)"", ""80' Yellow_Away - Semedo N.(Nadmierna ostrość)"", ""90+5' Yellow_Away - Neves R.(Faul)""]",19.05.2021,19:00,1,0,Home,41%,59%,14,9,4,3,95,126,46,67,4,2,6,4,11,11,7,12,0,0,3,3,11,11,0,2
premier-league,Newcastle United,Sheffield Utd,"[""24' Yellow_Away - Norwood O.(Faul)"", ""31' Yellow_Away - Stevens E.(Przytrzymywanie)"", ""45+4' Goal_Home - Willock J.(Murphy J.)""]",19.05.2021,19:00,1,0,Home,50%,50%,16,11,5,1,85,116,47,59,9,9,2,1,11,9,5,2,2,4,1,4,7,7,0,2
premier-league,Tottenham,Aston Villa,"[""08' Goal_Home - Bergwijn S."", ""20' Own_Away - Reguilon S.()"", ""39' Goal_Away - Watkins O.(Traore B.)"", ""43' Yellow_Home - Hojbjerg P.(Podcięcie)"", ""90+1' Yellow_Away - McGinn J.(Podcięcie)""]",19.05.2021,19:00,1,2,Away,61%,39%,10,20,4,4,97,111,53,40,2,9,4,7,16,16,4,5,2,3,2,3,14,13,1,1
premier-league,Chelsea,Leicester City,"[""32' Yellow_Away - Perez A.(Podcięcie)"", ""35' Var_Home"", ""47' Goal_Home - Rudiger A."", ""66' Goal_Home - Jorginho(Penalty )"", ""76' Goal_Away - Iheanacho K.(Ndidi W.)"", ""82' Yellow_Away - Fofana W.(Podcięcie)"", ""87' Yellow_Home - Azpilicueta C.(Niesportowe zachowanie)"", ""89' Yellow_Away - Ndidi W.(Nadmierna ostrość)"", ""90+1' Yellow_Home - Mendy E.(Opóźnianie gry)"", ""90+4' Yellow_Away - Pereira R.(Niesportowe zachowanie)"", ""90+5' Yellow_Away - Amartey D.(Poza boiskiem, Niesportowe zachowanie)""]",18.05.2021,21:15,2,1,Home,59%,41%,17,7,6,3,100,103,58,31,5,3,6,1,16,16,6,5,1,0,2,4,15,16,2,4
premier-league,Brighton,Manchester City,"[""02' Goal_Away - Gundogan I.(Mahrez R.)"", ""10' Red_Card_Away - Cancelo J.(Przytrzymywanie)"", ""27' Yellow_Home - Jahanbakhsh A.(Podcięcie)"", ""48' Goal_Away - Foden P."", ""50' Goal_Home - Trossard L."", ""72' Goal_Home - Webster A.(Gross P.)"", ""73' Yellow_Away - Silva B.(Niesportowe zachowanie)"", ""76' Goal_Home - Burn D."", ""79' Yellow_Away - Rodri(Przytrzymywanie)"", ""82' Yellow_Away - Fernandinho(Nadmierna ostrość)"", ""90+3' Yellow_Home - Webster A.(Nadmierna ostrość)"", ""90+5' Yellow_Home - Sanchez R.(Niesportowe zachowanie)""]",18.05.2021,20:00,3,2,Home,63%,37%,19,8,6,4,126,66,70,16,4,2,9,2,13,16,5,3,3,1,2,3,13,11,3,3
premier-league,Manchester United,Fulham,"[""15' Goal_Home - Cavani E.(Fernandes B.)"", ""19' Yellow_Home - Fernandes B.(Podcięcie)"", ""51' Yellow_Away - Lemina M.(Przytrzymywanie)"", ""76' Goal_Away - Bryan J.(Reid B.)"", ""87' Yellow_Away - Lookman A.(Przytrzymywanie)"", ""89' Yellow_Home - Shaw L.(Przytrzymywanie)"", ""90+3' Yellow_Away - Areola A.(Niesportowe zachowanie)""]",18.05.2021,19:00,1,1,Draw,57%,43%,13,8,6,5,140,62,66,32,5,2,2,1,16,14,6,1,4,1,4,5,10,15,2,3
premier-league,Southampton,Leeds,"[""34' Yellow_Away - Phillips K.(Faul)"", ""56' Yellow_Away - Dallas S.(Podcięcie)"", ""66' Yellow_Away - Struijk P.(Nadmierna ostrość)"", ""73' Goal_Away - Bamford P.(Rodrigo)"", ""90+5' Goal_Away - Roberts T.""]",18.05.2021,19:00,0,2,Away,51%,49%,18,15,3,7,121,69,54,34,11,6,4,2,12,12,4,4,2,1,5,3,10,12,0,3
premier-league,Everton,Sheffield Utd,"[""07' Goal_Away - Jebbison D.(Robinson J.)"", ""26' Yellow_Away - Basham C.(Podcięcie)"", ""66' Yellow_Home - Rodriguez J.(Nadmierna ostrość)"", ""81' Yellow_Away - Baldock G.(Niesportowe zachowanie)"", ""90' Yellow_Away - Robinson J.(Opóźnianie gry)""]",16.05.2021,20:00,0,1,Away,62%,38%,16,10,6,3,119,101,50,44,5,3,5,4,15,8,11,4,0,3,2,6,8,12,1,3
premier-league,West Brom,Liverpool,"[""15' Goal_Home - Robson-Kanu H.(Pereira M.)"", ""33' Goal_Away - Salah M.(Mane S.)"", ""90+5' Goal_Away - Alisson(Alexander-Arnold T.)""]",16.05.2021,17:30,1,2,Away,24%,76%,10,26,3,6,63,129,33,80,6,10,1,10,16,11,9,13,2,2,4,2,7,14,,
premier-league,Tottenham,Wolves,"[""45' Goal_Home - Kane H.(Hojbjerg P.)"", ""62' Goal_Home - Hojbjerg P."", ""86' Yellow_Home - Tanganga J.(Nadmierna ostrość)""]",16.05.2021,15:05,2,0,Home,62%,38%,24,15,13,3,107,75,71,43,9,7,2,5,14,11,10,3,2,3,3,11,8,11,1,0
