League,Home,Away,INC,Date,Time,H_Score,A_Score,WIN,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards
bundesliga,Borussia Dortmund,Hertha Berlin,"[""23' Yellow_Home - Schulz N.(Podcięcie)"", ""54' Goal_Home - Brandt J.(Reus M.)"", ""59' Yellow_Away - Zeefuik D.(Nadmierna ostrość)"", ""80' Red_Card_Away - Darida V.(Podcięcie)"", ""90+1' Goal_Home - Moukoko Y.""]",13.03.2021,18:30,2,0,Home,68%,32%,14,4,4,0,173,75,75,30,10,4,,,10,9,7,0,3,0,0,2,6,11,1,1
bundesliga,1. FC Union Berlin,1. FC Koeln,"[""11' Yellow_Away - Horn J.(Przytrzymywanie)"", ""32' Yellow_Home - Musa P.(Uderzenie łokciem)"", ""45+2' Goal_Away - Duda O.(Penalty )"", ""48' Goal_Home - Kruse M.(Penalty )"", ""67' Goal_Home - Trimmel C."", ""81' Yellow_Away - Ozcan S.(Przytrzymywanie)"", ""85' Yellow_Away - Skhiri E.(Przytrzymywanie)"", ""87' Yellow_Home - Andrich R.(Niesportowe zachowanie)""]",13.03.2021,15:30,2,1,Home,41%,59%,13,9,8,5,101,123,43,40,5,4,,,12,21,6,6,2,0,4,6,20,13,2,3
bundesliga,1. FSV Mainz 05,SC Freiburg,"[""21' Yellow_Away - Hofler N.(Nadmierna ostrość)"", ""33' Yellow_Away - Schlotterbeck K.(Przytrzymywanie)"", ""68' Yellow_Home - Bell S.(Podcięcie)"", ""84' Goal_Home - Quaison R."", ""90+4' Yellow_Away - Schmid J.(Faul)""]",13.03.2021,15:30,1,0,Home,50%,50%,10,13,7,3,122,100,50,34,3,10,,,15,25,0,4,1,0,3,6,24,15,1,3
bundesliga,VfL Wolfsburg,FC Schalke 04,"[""31' Own_Home - Mustafi S.()"", ""51' Goal_Home - Weghorst W.(Baku R.)"", ""55' Yellow_Away - William(Nadmierna ostrość)"", ""58' Goal_Home - Baku R.(Weghorst W.)"", ""64' Goal_Home - Brekalo J.(Weghorst W.)"", ""79' Goal_Home - Philipp M.(Roussillon J.)""]",13.03.2021,15:30,5,0,Home,52%,48%,16,7,7,1,136,90,48,35,9,6,,,10,18,3,8,6,2,1,3,12,8,0,1
bundesliga,Werder Brema,Bayern Munich,"[""22' Goal_Away - Goretzka L.(Mueller T.)"", ""35' Goal_Away - Gnabry S.(Mueller T.)"", ""67' Goal_Away - Lewandowski R."", ""70' Yellow_Home - Sargent J.(Podcięcie)"", ""86' Goal_Home - Fullkrug N.""]",13.03.2021,15:30,1,3,Away,43%,57%,9,22,4,6,67,186,25,83,5,16,,,13,8,3,8,3,7,3,3,5,9,1,0
bundesliga,FC Augsburg,B. Moenchengladbach,"[""38' Penalty_Missed_Away -  Stindl L.()"", ""52' Goal_Home - Vargas R.(Caligiuri D.)"", ""68' Goal_Away - Neuhaus F.(Wendt O.)"", ""76' Goal_Home - Richter M."", ""89' Goal_Home - Hahn A.(Richter M.)""]",12.03.2021,20:30,3,1,Home,47%,53%,10,28,3,8,91,153,25,65,7,20,,,16,8,1,10,3,5,7,0,6,10,,
bundesliga,Arminia Bielefeld,Werder Brema,"[""35' Yellow_Away - Friedl M.(Nadmierna ostrość)"", ""47' Goal_Away - Sargent J."", ""71' Red_Card_Home - De Medina N.(Podcięcie)"", ""75' Goal_Away - Mohwald K.(Eggestein M.)"", ""87' Yellow_Away - Eggestein M.(Podcięcie)"", ""90+6' Yellow_Home - Pieper A.(Poza boiskiem, Niesportowe zachowanie)""]",10.03.2021,18:30,0,2,Away,60%,40%,22,5,7,2,128,67,44,21,15,3,,,10,13,9,0,1,1,0,7,12,9,0,2
bundesliga,Arminia Bielefeld,1. FC Union Berlin,[],07.03.2021,18:00,0,0,Draw,43%,57%,5,7,3,3,102,96,35,47,2,4,,,12,11,3,3,1,7,3,3,9,5,,
bundesliga,1. FC Koeln,Werder Brema,"[""21' Yellow_Home - Jakobs I.(Podcięcie)"", ""66' Goal_Away - Sargent J.(Schmid R.)"", ""80' Yellow_Home - Drexler D.(Podcięcie)"", ""83' Goal_Home - Hector J.(Dennis E.)""]",07.03.2021,15:30,1,1,Draw,65%,35%,16,11,4,5,155,85,98,29,12,6,,,10,17,9,3,5,0,4,3,13,10,2,0
bundesliga,Bayern Munich,Borussia Dortmund,"[""02' Goal_Away - Haaland E.(Delaney T.)"", ""09' Goal_Away - Haaland E.(Hazard T.)"", ""26' Goal_Home - Lewandowski R.(Sane L.)"", ""28' Yellow_Home - Lewandowski R.(Podcięcie)"", ""29' Yellow_Away - Meunier T.(Podcięcie)"", ""44' Goal_Home - Lewandowski R.(Penalty )"", ""88' Goal_Home - Goretzka L."", ""90' Goal_Home - Lewandowski R.(Davies A.)""]",06.03.2021,18:30,4,2,Home,65%,35%,25,4,9,3,158,58,105,21,16,1,,,14,9,6,0,0,2,1,5,8,13,1,1
bundesliga,B. Moenchengladbach,Bayer Leverkusen,"[""38' Yellow_Away - Amiri N.(Niesportowe zachowanie)"", ""76' Goal_Away - Schick P."", ""90+3' Yellow_Away - Schick P.(Nadmierna ostrość)""]",06.03.2021,15:30,0,1,Away,45%,55%,7,13,3,5,78,90,33,36,4,8,,,12,7,7,8,3,2,4,3,6,10,0,2
bundesliga,Eintracht Frankfurt,VfB Stuttgart,"[""27' Yellow_Home - N"", ""31' Yellow_Home - Hinteregger M.(Podcięcie)"", ""54' Var_Home"", ""54' Yellow_Away - Katompa Mvumpa S.(Przytrzymywanie)"", ""59' Yellow_Away - Coulibaly T.(Faul)"", ""68' Goal_Away - Kalajdzic S.(Kempf M. O.)"", ""69' Goal_Home - Kostic F."", ""77' Yellow_Away - Mangala O.(Faul)""]",06.03.2021,15:30,1,1,Draw,58%,42%,19,8,8,1,115,81,79,38,11,7,,,18,16,13,4,1,1,0,7,15,17,2,3
bundesliga,Hertha Berlin,FC Augsburg,"[""02' Goal_Away - Benes L.(Hahn A.)"", ""26' Yellow_Away - Hahn A.(Nadmierna ostrość)"", ""45+1' Yellow_Home - Stark N.(Przytrzymywanie)"", ""49' Yellow_Away - Pedersen M.(Nadmierna ostrość)"", ""62' Goal_Home - Piątek K.(Darida V.)"", ""72' Yellow_Home - Lukebakio D.(Podcięcie)"", ""80' Yellow_Away - Gouweleeuw J.(Podcięcie)"", ""89' Goal_Home - Lukebakio D.(Penalty )""]",06.03.2021,15:30,2,1,Home,66%,34%,17,7,7,4,110,65,61,23,10,3,,,12,19,6,1,2,2,3,5,15,13,2,3
bundesliga,SC Freiburg,RB Lipsk,"[""41' Goal_Away - Nkunku C.(Poulsen Y.)"", ""52' Yellow_Home - Hofler N.(Przytrzymywanie)"", ""64' Goal_Away - Sorloth A.(Nkunku C.)"", ""75' Yellow_Away - Hwang Hee-Chan(Podcięcie)"", ""79' Goal_Away - Forsberg E.(Sorloth A.)""]",06.03.2021,15:30,0,3,Away,46%,54%,5,13,1,8,57,83,30,44,4,5,,,14,10,1,2,0,1,5,1,10,13,1,1
bundesliga,TSG Hoffenheim,VfL Wolfsburg,"[""08' Goal_Home - Baumgartner C.(Kaderabek P.)"", ""23' Goal_Away - Weghorst W.(Schlager X.)"", ""30' Yellow_Away - Steffen R.(Nadmierna ostrość)"", ""41' Goal_Home - Kramaric A.(Kaderabek P.)"", ""65' Yellow_Away - Lacroix M.(Nadmierna ostrość)"", ""70' Yellow_Home - Sessegnon R."", ""72' Yellow_Away - Glasner O.(Poza boiskiem)"", ""72' Yellow_Away - Schlager X.(Podcięcie)"", ""80' Yellow_Home - Dabbur M.(Niesportowe zachowanie)"", ""88' Yellow_Away - Otavio P.(Nadmierna ostrość)"", ""90+4' Red_Card_Away - Otavio P.(Podcięcie)""]",06.03.2021,15:30,2,1,Home,40%,60%,9,17,4,5,87,115,38,50,5,12,,,20,13,2,6,0,5,4,2,13,15,2,4
bundesliga,FC Schalke 04,1. FSV Mainz 05,"[""09' Yellow_Home - Kolasinac S.(Nadmierna ostrość)"", ""47' Yellow_Away - Bell S.(Nadmierna ostrość)"", ""50' Yellow_Away - Szalai A.(Podcięcie)"", ""84' Yellow_Home - Mascarell O.(Nadmierna ostrość)""]",05.03.2021,20:30,0,0,Draw,50%,50%,2,19,2,2,104,148,11,72,0,17,,,18,11,2,6,1,2,2,2,10,16,2,2
bundesliga,Bayer Leverkusen,SC Freiburg,"[""21' Yellow_Away - Demirovic E.(Nadmierna ostrość)"", ""50' Goal_Away - Demirovic E.(Holer L.)"", ""61' Goal_Away - Holer L.(Grifo V.)"", ""68' Yellow_Home - Aranguiz(Nadmierna ostrość)"", ""70' Goal_Home - Bailey L.(Alario L.)"", ""71' Yellow_Home - Bailey L.(Niesportowe zachowanie)"", ""73' Yellow_Away - Hofler N.(Nadmierna ostrość)"", ""77' Yellow_Away - Sallai R.(Przytrzymywanie)""]",28.02.2021,18:00,1,2,Away,65%,35%,21,6,5,3,125,68,57,39,16,3,,,13,12,8,3,1,1,1,4,12,11,2,3
bundesliga,1. FSV Mainz 05,FC Augsburg,"[""25' Goal_Away - Hahn A.(Niederlechner F.)"", ""44' Yellow_Home - Latza D.(Podcięcie)"", ""45' Yellow_Away - Framberger R.(Przytrzymywanie)"", ""77' Yellow_Away - Strobl T.(Podcięcie)""]",28.02.2021,15:30,0,1,Away,58%,42%,10,8,5,3,137,82,87,28,5,5,,,9,11,5,3,2,2,2,5,9,7,1,2
bundesliga,1. FC Union Berlin,TSG Hoffenheim,"[""09' Goal_Home - Kruse M.(Penalty )"", ""29' Own_Away - Schlotterbeck N.()"", ""79' Yellow_Away - Richards C.(Przytrzymywanie)"", ""83' Var_Away"", ""90+4' Yellow_Away - Vogt K.(Nadmierna ostrość)""]",28.02.2021,13:30,1,1,Draw,49%,51%,4,15,1,4,107,131,31,46,3,11,,,13,22,3,4,9,2,3,0,13,12,0,2
bundesliga,RB Lipsk,B. Moenchengladbach,"[""06' Goal_Away - Hofmann J.(Penalty )"", ""19' Goal_Away - Thuram M.(Embolo B.)"", ""41' Yellow_Home - Sabitzer M.(Niesportowe zachowanie)"", ""43' Yellow_Home - Upamecano D.(Podcięcie)"", ""49' Yellow_Away - Elvedi N.(Podcięcie)"", ""50' Var_Home"", ""57' Goal_Home - Nkunku C.(Sorloth A.)"", ""66' Goal_Home - Poulsen Y.(Olmo D.)"", ""90+3' Goal_Home - Sorloth A.(Nkunku C.)"", ""90+3' Yellow_Away - Stindl L.(Niesportowe zachowanie)""]",27.02.2021,18:30,3,2,Home,58%,42%,20,5,11,2,126,76,91,41,9,3,,,16,24,3,4,4,1,0,8,20,15,2,2
bundesliga,Bayern Munich,1. FC Koeln,"[""18' Goal_Home - Choupo-Moting M.(Goretzka L.)"", ""22' Yellow_Home - Alaba D.(Nadmierna ostrość)"", ""33' Goal_Home - Lewandowski R.(Goretzka L.)"", ""45' Yellow_Away - FaulCzichos R.(Faul)"", ""45+1' Yellow_Home - Sane L.(Faul)"", ""49' Goal_Away - Skhiri E."", ""65' Goal_Home - Lewandowski R.(Mueller T.)"", ""82' Goal_Home - Gnabry S.(Hernandez L.)"", ""86' Goal_Home - Gnabry S.(Goretzka L.)""]",27.02.2021,15:30,5,1,Home,54%,46%,15,6,7,3,124,87,90,58,8,3,,,12,8,4,4,1,2,2,2,7,9,2,1
bundesliga,Borussia Dortmund,Arminia Bielefeld,"[""48' Goal_Home - Dahoud M.(Sancho J.)"", ""57' Yellow_Away - Pieper A.(Podcięcie)"", ""58' Goal_Home - Sancho J.(Penalty )"", ""72' Yellow_Away - Kunze F.(Podcięcie)"", ""81' Goal_Home - Reinier(Haaland E.)"", ""83' Yellow_Away - Prietl M.(Nadmierna ostrość)""]",27.02.2021,15:30,3,0,Home,61%,39%,20,8,9,2,104,90,57,28,11,6,,,16,14,5,2,2,1,2,6,12,16,0,3
bundesliga,VfB Stuttgart,FC Schalke 04,"[""10' Goal_Home - Endo W.(Sosa B.)"", ""26' Goal_Home - Endo W.(Castro G.)"", ""29' Yellow_Away - Becker T.(Podcięcie)"", ""34' Goal_Home - Kalajdzic S.(Sosa B.)"", ""40' Goal_Away - Kolasinac S.(Stambouli B.)"", ""59' Yellow_Home - Castro G.(Podcięcie)"", ""66' Yellow_Home - Endo W.(Przytrzymywanie)"", ""72' Penalty_Missed_Away -  Bentaleb N.()"", ""77' Yellow_Away - Thiaw M.(Nadmierna ostrość)"", ""88' Goal_Home - Klement P.(Endo W.)"", ""88' Yellow_Away - Bentaleb N.(Podcięcie)"", ""90+2' Goal_Home - Didavi D.(Endo W.)""]",27.02.2021,15:30,5,1,Home,48%,52%,19,11,10,5,91,86,73,68,9,6,,,19,14,11,9,0,1,4,5,15,18,2,3
bundesliga,VfL Wolfsburg,Hertha Berlin,"[""38' Own_Home - Klunter L.()"", ""45' Yellow_Home - Otavio P.(Podcięcie)"", ""47' Yellow_Home - Mbabu K.(Nadmierna ostrość)"", ""48' Yellow_Home - Pongracic M.(Nadmierna ostrość)"", ""89' Goal_Home - Lacroix M.(Arnold M.)"", ""90+4' Red_Card_Home - Żółta kartka / Pongracic M.(Podcięcie)"", ""90+5' Yellow_Home - Białek B.(Nadmierna ostrość)""]",27.02.2021,15:30,2,0,Home,58%,42%,11,7,2,2,125,114,77,66,9,5,,,16,18,3,5,3,2,2,1,15,14,5,0
bundesliga,Werder Brema,Eintracht Frankfurt,"[""09' Goal_Away - Silva An.(Kostic F.)"", ""35' Yellow_Home - Gebre Selassie T.(Faul)"", ""40' Yellow_Away - Rode S.(Faul)"", ""47' Goal_Home - Gebre Selassie T."", ""62' Goal_Home - Sargent J.(Eggestein M.)"", ""69' Var_Home"", ""78' Yellow_Home - Schmid R.(Niesportowe zachowanie)"", ""81' Yellow_Away - Younes A.(Niesportowe zachowanie)"", ""81' Yellow_Home - Friedl M.(Faul)"", ""81' Yellow_Home - Mohwald K.(Niesportowe zachowanie)"", ""89' Yellow_Away - Hutter A.(Poza boiskiem)"", ""90+2' Yellow_Away - Tuta(Faul)""]",26.02.2021,20:30,2,1,Home,37%,63%,9,13,5,4,92,171,16,85,4,9,,,16,12,2,8,2,2,3,3,9,15,4,3
bundesliga,TSG Hoffenheim,Werder Brema,"[""08' Yellow_Away - Toprak O.(Zagranie ręką)"", ""16' Yellow_Home - Rudy S.(Faul)"", ""26' Goal_Home - Bebou I.(Samassekou D.)"", ""44' Goal_Home - Baumgartner C."", ""49' Goal_Home - Dabbur M.(Bebou I.)"", ""51' Yellow_Home - Kaderabek P.(Uderzenie łokciem)"", ""69' Yellow_Away - Friedl M.(Podcięcie)"", ""90' Goal_Home - Rutter G.(Bogarde M.)""]",21.02.2021,18:00,4,0,Home,51%,49%,12,3,6,1,121,107,52,28,6,2,,,16,19,6,3,1,5,1,2,16,12,2,2
bundesliga,Hertha Berlin,RB Lipsk,"[""28' Goal_Away - Sabitzer M.(Olmo D.)"", ""34' Yellow_Home - Cunha M.(Nadmierna ostrość)"", ""45' Yellow_Away - Sabitzer M.(Nadmierna ostrość)"", ""71' Goal_Away - Mukiele N.(Adams T.)"", ""84' Goal_Away - Orban W.(Sabitzer M.)""]",21.02.2021,15:30,0,3,Away,51%,49%,8,14,4,7,97,121,27,37,4,7,,,10,15,3,4,6,1,4,4,10,8,1,1
bundesliga,FC Augsburg,Bayer Leverkusen,"[""05' Goal_Home - Niederlechner F."", ""32' Yellow_Away - Tapsoba E.(Nadmierna ostrość)"", ""39' Yellow_Away - Aranguiz(Faul)"", ""49' Yellow_Home - Benes L.(Nadmierna ostrość)"", ""59' Yellow_Home - Niederlechner F.(Przytrzymywanie)"", ""88' Yellow_Away - Diaby M.(Niesportowe zachowanie)"", ""89' Yellow_Away - Fosu-Mensah T.(Nadmierna ostrość)"", ""90+4' Goal_Away - Tapsoba E.(Gray D.)""]",21.02.2021,13:30,1,1,Draw,33%,67%,6,10,3,3,68,164,16,62,3,7,,,18,20,1,4,4,2,2,2,16,13,2,4
bundesliga,FC Schalke 04,Borussia Dortmund,"[""14' Yellow_Home - Hoppe M.(Nadmierna ostrość)"", ""42' Goal_Away - Sancho J."", ""45' Goal_Away - Haaland E.(Sancho J.)"", ""60' Goal_Away - Guerreiro R.(Reus M.)"", ""63' Yellow_Away - Bellingham J.(Faul)"", ""64' Yellow_Away - Dahoud M.(Przytrzymywanie)"", ""66' Yellow_Home - Kolasinac S.(Podcięcie)"", ""79' Goal_Away - Haaland E.(Bellingham J.)""]",20.02.2021,18:30,0,4,Away,42%,58%,13,9,2,6,76,133,35,40,11,3,0,0,12,9,4,2,1,0,2,2,9,13,2,2
bundesliga,1. FC Koeln,VfB Stuttgart,"[""19' Yellow_Home - Cestic S.(Podcięcie)"", ""29' Yellow_Away - Kempf M. O.(Przytrzymywanie)"", ""49' Goal_Away - Kalajdzic S.(Sosa B.)"", ""86' Yellow_Home - Czichos R.(Podcięcie)""]",20.02.2021,15:30,0,1,Away,50%,50%,9,9,0,3,94,125,29,33,9,6,,,14,15,0,6,0,4,2,0,15,10,2,1
bundesliga,B. Moenchengladbach,1. FSV Mainz 05,"[""10' Goal_Away - Onisiwo K.(St. Juste J.)"", ""14' Yellow_Home - Kramer Ch.(Faul)"", ""26' Goal_Home - Stindl L.(Hofmann J.)"", ""61' Yellow_Away - Kohr D.(Podcięcie)"", ""86' Goal_Away - Stoger K.""]",20.02.2021,15:30,1,2,Away,64%,36%,12,8,3,6,130,85,47,28,9,2,,,18,19,4,4,6,2,4,2,10,16,1,1
bundesliga,Eintracht Frankfurt,Bayern Munich,"[""12' Goal_Home - Kamada D.(Kostic F.)"", ""31' Goal_Home - Younes A.(Kamada D.)"", ""53' Goal_Away - Lewandowski R.(Sane L.)"", ""56' Yellow_Home - Rode S.(Przytrzymywanie)"", ""61' Yellow_Away - Flick H.(Poza boiskiem)"", ""90+1' Yellow_Home - N""]",20.02.2021,15:30,2,1,Home,43%,57%,12,22,6,6,106,117,29,76,6,16,,,8,14,6,10,1,1,5,4,12,7,2,1
bundesliga,SC Freiburg,1. FC Union Berlin,"[""37' Yellow_Home - Grifo V.(Podcięcie)"", ""39' Yellow_Away - Lenz C.(Podcięcie)"", ""50' Yellow_Home - Holer L.(Podcięcie)"", ""64' Goal_Away - Promel G.(Ingvartsen M.)"", ""85' Yellow_Away - Giesselmann N.(Podcięcie)""]",20.02.2021,15:30,0,1,Away,63%,37%,9,15,1,4,124,73,50,34,8,11,,,15,16,2,4,0,0,3,1,15,14,2,2
bundesliga,Arminia Bielefeld,VfL Wolfsburg,"[""29' Goal_Away - Steffen R.(Gerhardt Y.)"", ""37' Yellow_Away - Brooks J.(Podcięcie)"", ""47' Goal_Away - Steffen R."", ""54' Goal_Away - Arnold M.(Weghorst W.)"", ""80' Yellow_Away - Guilavogui J.(Podcięcie)""]",19.02.2021,20:30,0,3,Away,45%,55%,7,11,2,6,75,90,48,65,5,5,,,16,12,3,8,1,3,3,2,10,14,0,2
bundesliga,Bayern Munich,Arminia Bielefeld,"[""09' Goal_Away - Vlap M.(Prietl M.)"", ""37' Goal_Away - Pieper A.(Vlap M.)"", ""48' Goal_Home - Lewandowski R.(Alaba D.)"", ""49' Goal_Away - Gebauer C.(Voglsammer A.)"", ""57' Goal_Home - Tolisso C.(Sane L.)"", ""69' Goal_Home - Davies A."", ""78' Yellow_Home - Tolisso C.(Podcięcie)"", ""80' Yellow_Away - Kunze F.(Nadmierna ostrość)""]",15.02.2021,20:30,3,3,Draw,65%,35%,19,7,11,3,194,66,77,19,8,4,,,14,10,5,2,3,1,0,8,7,13,1,1
bundesliga,VfL Wolfsburg,B. Moenchengladbach,"[""07' Yellow_Away - Bensebaini R.(Podcięcie)"", ""11' Yellow_Home - Brooks J.(Podcięcie)"", ""79' Yellow_Away - Plea A.(Uderzenie łokciem)"", ""85' Yellow_Away - Embolo B.(Nadmierna ostrość)""]",14.02.2021,18:00,0,0,Draw,55%,45%,18,12,6,4,154,89,72,35,12,8,,,12,13,9,6,3,1,4,6,10,11,1,3
bundesliga,Eintracht Frankfurt,1. FC Koeln,"[""32' Yellow_Home - Sow D.(Nadmierna ostrość)"", ""57' Goal_Home - Silva An.(Kamada D.)"", ""75' Yellow_Home - Toure A.(Faul)"", ""79' Goal_Home - N"", ""86' Yellow_Home - Kostic F.(Niesportowe zachowanie)"", ""90+1' Yellow_Away - Mere J.(Nadmierna ostrość)""]",14.02.2021,15:30,2,0,Home,58%,42%,17,6,7,1,142,106,53,33,10,5,,,8,16,7,2,2,4,1,5,14,4,3,1
bundesliga,1. FC Union Berlin,FC Schalke 04,"[""02' Yellow_Home - Trimmel C.(Podcięcie)"", ""34' Yellow_Away - William(Podcięcie)"", ""75' Yellow_Home - Hubner F.(Podcięcie)"", ""82' Yellow_Home - Musa P.(Nadmierna ostrość)"", ""85' Yellow_Away - Harit A.(Nadmierna ostrość)""]",13.02.2021,18:30,0,0,Draw,38%,62%,19,6,3,1,105,124,36,58,16,5,,,14,16,1,6,2,0,1,3,14,15,3,2
bundesliga,Bayer Leverkusen,1. FSV Mainz 05,"[""03' Yellow_Home - Tah J.(Nadmierna ostrość)"", ""13' Yellow_Home - Wendell(Podcięcie)"", ""14' Goal_Home - Alario L.(Diaby M.)"", ""66' Yellow_Home - Tapsoba E.(Podcięcie)"", ""68' Yellow_Home - Schick P.(Nadmierna ostrość)"", ""82' Yellow_Home - Fosu-Mensah T.(Opóźnianie gry)"", ""84' Goal_Home - Schick P.(Gray D.)"", ""89' Goal_Away - Glatzel R.(Niakhate M.)"", ""90+2' Goal_Away - Stoger K."", ""90+4' Yellow_Away - Stoger K.(Nadmierna ostrość)""]",13.02.2021,15:30,2,2,Draw,66%,34%,11,19,5,6,132,91,44,50,6,13,,,20,14,2,2,0,4,4,3,13,17,5,1
bundesliga,Borussia Dortmund,TSG Hoffenheim,"[""21' Yellow_Home - Delaney T.(Niesportowe zachowanie)"", ""24' Goal_Home - Sancho J.(Guerreiro R.)"", ""26' Yellow_Away - Rudy S.(Niesportowe zachowanie)"", ""31' Goal_Away - Dabbur M.(Rudy S.)"", ""51' Goal_Away - Bebou I."", ""57' Var_Home"", ""57' Yellow_Away - Grillitsch F.(Nadmierna ostrość)"", ""59' Yellow_Away - Vogt K.(Przytrzymywanie)"", ""60' Yellow_Away - Posch S.(Nadmierna ostrość)"", ""65' Yellow_Away - Samassekou D.(Podcięcie)"", ""67' Yellow_Home - Akanji M.(Przytrzymywanie)"", ""81' Goal_Home - Haaland E."", ""81' Yellow_Home - Dahoud M.(Niesportowe zachowanie)"", ""85' Yellow_Away - Dabbur M.(Faul)"", ""90+2' Yellow_Away - Gacinovic M.(Niesportowe zachowanie)""]",13.02.2021,15:30,2,2,Draw,53%,47%,7,13,4,6,120,127,40,47,3,7,,,15,25,1,7,3,0,4,2,21,16,3,7
bundesliga,VfB Stuttgart,Hertha Berlin,"[""07' Yellow_Home - Mavropanos K.(Przytrzymywanie)"", ""13' Yellow_Away - Piątek K.(Niesportowe zachowanie)"", ""37' Yellow_Away - Pekarik P.(Podcięcie)"", ""45+1' Goal_Home - Kalajdzic S.(Sosa B.)"", ""69' Yellow_Home - Karazor A.(Przytrzymywanie)"", ""82' Goal_Away - Netz L.(Khedira S.)""]",13.02.2021,15:30,1,1,Draw,53%,47%,11,11,3,3,129,100,36,42,8,8,,,20,23,1,5,0,3,2,2,21,17,2,2
bundesliga,Werder Brema,SC Freiburg,"[""84' Yellow_Away - Hofler N.(Przytrzymywanie)"", ""90+1' Yellow_Away - Heintz D.(Podcięcie)""]",13.02.2021,15:30,0,0,Draw,45%,55%,12,8,4,2,90,119,28,38,8,6,,,20,1,4,1,0,0,2,4,4,20,0,2
bundesliga,RB Lipsk,FC Augsburg,"[""03' Yellow_Away - Oxford R.(Faul)"", ""22' Yellow_Away - Gouweleeuw J.(Podcięcie)"", ""28' Yellow_Away - Suchy M.(Podcięcie)"", ""34' Yellow_Away - Gikiewicz R.(Niesportowe zachowanie)"", ""38' Goal_Home - Olmo D.(Penalty )"", ""41' Yellow_Home - Klostermann L.(Przytrzymywanie)"", ""43' Goal_Home - Nkunku C.(Poulsen Y.)"", ""61' Yellow_Home - Orban W.(Podcięcie)"", ""63' Yellow_Away - Benes L.(Uderzenie łokciem)"", ""72' Yellow_Home - Adams T.(Nadmierna ostrość)"", ""77' Goal_Away - Caligiuri D.(Penalty )""]",12.02.2021,20:30,2,1,Home,58%,42%,16,4,6,2,124,93,31,27,10,2,,,16,26,3,4,4,1,1,4,23,15,3,5
bundesliga,TSG Hoffenheim,Eintracht Frankfurt,"[""15' Goal_Away - Kostic F.(Younes A.)"", ""43' Yellow_Away - Hinteregger M.(Przytrzymywanie)"", ""47' Goal_Home - Bebou I.(Kramaric A.)"", ""56' Yellow_Away - Younes A.(Nadmierna ostrość)"", ""62' Goal_Away - N"", ""64' Goal_Away - Silva An.(Kostic F.)"", ""88' Yellow_Away - Tuta(Podcięcie)""]",07.02.2021,15:30,1,3,Away,55%,45%,8,9,2,5,117,104,48,46,6,4,,,16,17,4,7,1,4,2,1,15,12,0,3
bundesliga,B. Moenchengladbach,1. FC Koeln,"[""02' Yellow_Home - Stindl L.(Podcięcie)"", ""03' Goal_Away - Rexhbecaj E.(Duda O.)"", ""16' Goal_Home - Neuhaus F.(Stindl L.)"", ""27' Yellow_Home - Herrmann P.(Podcięcie)"", ""55' Goal_Away - Rexhbecaj E."", ""75' Yellow_Home - Jantschke T.(Nadmierna ostrość)"", ""80' Yellow_Away - Ehizibue K.(Opóźnianie gry)"", ""86' Yellow_Away - Rexhbecaj E.(Nadmierna ostrość)"", ""90+5' Yellow_Home - Neuhaus F.(Niesportowe zachowanie)""]",06.02.2021,18:30,1,2,Away,60%,40%,10,7,2,3,145,61,52,17,8,4,,,16,20,4,1,3,4,1,1,17,11,4,2
bundesliga,1. FSV Mainz 05,1. FC Union Berlin,"[""21' Yellow_Away - Schlotterbeck N.(Podcięcie)"", ""22' Goal_Home - Niakhate M.(Penalty )"", ""28' Yellow_Home - Kohr D.(Podcięcie)"", ""33' Yellow_Away - Teuchert C.(Podcięcie)"", ""40' Yellow_Home - Barreiro L.(Podcięcie)"", ""55' Red_Card_Away - Żółta kartka / Schlotterbeck N.(Nadmierna ostrość)"", ""60' Yellow_Away - Knoche R.(Podcięcie)"", ""67' Yellow_Away - Trimmel C.(Podcięcie)""]",06.02.2021,15:30,1,0,Home,45%,55%,9,10,5,3,93,124,54,44,4,7,,,14,13,3,1,1,4,3,4,12,11,2,5
bundesliga,Bayer Leverkusen,VfB Stuttgart,"[""18' Goal_Home - Demirbay K."", ""31' Goal_Home - Demirbay K.(Bailey L.)"", ""50' Goal_Away - Kalajdzic S.(Thommy E.)"", ""56' Goal_Home - Bailey L.(Diaby M.)"", ""68' Goal_Home - Wirtz F.(Diaby M.)"", ""77' Goal_Away - Kalajdzic S.(Thommy E.)"", ""84' Goal_Home - Gray D.""]",06.02.2021,15:30,5,2,Home,56%,44%,25,14,11,7,110,92,51,33,14,7,,,12,12,4,4,1,3,5,6,12,9,,
